Date,Time,Voltage,SC_Current
14/10/2019,7:37:32,20.59,2.35
14/10/2019,7:40:32,20.33,2.00
14/10/2019,7:43:32,20.54,2.39
14/10/2019,7:46:31,20.05,2.15
14/10/2019,7:49:31,20.50,3.54
14/10/2019,7:52:31,19.99,2.18
14/10/2019,7:55:31,19.73,1.73
14/10/2019,7:58:31,20.42,3.00
14/10/2019,8:1:30,20.18,2.17
14/10/2019,8:4:30,20.28,2.51
14/10/2019,8:7:30,20.01,1.74
14/10/2019,8:10:30,19.85,1.29
14/10/2019,8:13:30,19.81,1.17
14/10/2019,8:16:29,20.50,2.06
14/10/2019,8:19:29,20.35,1.89
14/10/2019,8:22:29,20.46,2.09
14/10/2019,8:25:29,20.76,2.70
14/10/2019,8:28:29,20.49,2.38
14/10/2019,8:31:29,20.39,2.11
14/10/2019,8:34:28,20.54,2.63
14/10/2019,8:37:28,20.76,4.54
14/10/2019,8:40:28,21.02,4.62
14/10/2019,8:43:28,20.06,2.15
14/10/2019,8:46:28,20.92,5.10
14/10/2019,8:49:27,20.90,5.28
14/10/2019,8:52:27,20.75,5.57
14/10/2019,8:55:27,20.52,5.55
14/10/2019,8:58:27,20.11,4.27
14/10/2019,9:1:27,20.02,3.03
14/10/2019,9:4:26,20.58,3.22
14/10/2019,9:7:26,20.69,5.07
14/10/2019,9:10:26,20.18,2.77
14/10/2019,9:13:26,20.64,5.69
14/10/2019,9:16:26,19.35,2.33
14/10/2019,9:19:26,20.43,6.12
14/10/2019,9:22:25,20.25,-0.00
14/10/2019,9:25:25,20.15,-0.00
14/10/2019,9:28:25,19.32,2.76
14/10/2019,9:31:25,19.65,3.16
14/10/2019,9:34:25,20.54,6.76
14/10/2019,9:37:24,20.59,6.94
14/10/2019,9:40:24,20.04,6.35
14/10/2019,9:43:24,19.31,2.46
14/10/2019,9:46:24,19.92,3.34
14/10/2019,9:49:24,19.37,1.86
14/10/2019,9:52:23,19.56,2.13
14/10/2019,9:55:23,20.87,6.07
14/10/2019,9:58:23,19.98,2.50
14/10/2019,10:1:23,20.44,4.62
14/10/2019,10:4:23,21.02,6.65
14/10/2019,10:7:23,20.51,5.95
14/10/2019,10:10:22,20.25,-0.01
14/10/2019,10:13:22,19.34,0.01
14/10/2019,10:16:22,20.13,-0.01
14/10/2019,10:19:22,19.96,-0.00
14/10/2019,10:22:22,19.28,2.94
14/10/2019,10:25:21,19.30,1.95
14/10/2019,10:28:21,19.62,2.50
14/10/2019,10:31:21,19.61,2.45
14/10/2019,10:34:21,20.59,5.88
14/10/2019,10:37:21,20.23,6.01
14/10/2019,10:40:21,20.05,-0.00
14/10/2019,10:43:20,19.94,-0.01
14/10/2019,10:46:20,19.81,0.00
14/10/2019,10:49:20,19.65,0.00
14/10/2019,10:52:20,19.81,-0.00
14/10/2019,10:55:20,19.64,-0.01
14/10/2019,10:58:19,19.68,-0.01
14/10/2019,11:1:19,18.80,-0.00
14/10/2019,11:4:19,18.79,1.77
14/10/2019,11:7:19,19.30,1.78
14/10/2019,11:10:19,20.91,6.87
